County,Wage,State
Calumet,"57,182",Wisconsin
Chippewa,"53,415",Wisconsin
Clark,"50,128",Wisconsin
Columbia,"60,708",Wisconsin
Crawford,"49,273",Wisconsin
Dane,"71,062",Wisconsin
Dodge,"51,287",Wisconsin
Door,"68,172",Wisconsin
Douglas,"49,872",Wisconsin
Dunn,"47,673",Wisconsin
Eau Claire,"55,693",Wisconsin
Florence,"64,600",Wisconsin
Fond du Lac,"56,378",Wisconsin
Forest,"46,139",Wisconsin
Grant,"51,761",Wisconsin
Green,"60,240",Wisconsin
Green Lake,"49,311",Wisconsin
Iowa,"57,445",Wisconsin
Iron,"52,673",Wisconsin
Jackson,"49,697",Wisconsin
Jefferson,"53,863",Wisconsin
Juneau,"46,040",Wisconsin
Kenosha,"57,085",Wisconsin
Kewaunee,"54,422",Wisconsin
La Crosse,"58,301",Wisconsin
Lafayette,"52,194",Wisconsin
Langlade,"51,008",Wisconsin
Lincoln,"51,407",Wisconsin
Manitowoc,"53,085",Wisconsin
Marathon,"58,096",Wisconsin
Marinette,"51,265",Wisconsin
Marquette,"47,885",Wisconsin
Milwaukee,"55,927",Wisconsin
Monroe,"49,000",Wisconsin
Oconto,"53,114",Wisconsin
Oneida,"55,861",Wisconsin
Outagamie,"58,622",Wisconsin
Ozaukee,"92,719",Wisconsin
Pepin,"57,620",Wisconsin
Pierce,"54,429",Wisconsin
Polk,"52,885",Wisconsin
Portage,"53,435",Wisconsin
Price,"51,148",Wisconsin
Racine,"56,884",Wisconsin
Richland,"50,749",Wisconsin
Rock,"52,787",Wisconsin
Rusk,"51,844",Wisconsin
St. Croix,"63,800",Wisconsin
Sauk,"60,631",Wisconsin
Sawyer,"50,445",Wisconsin
Shawano,"49,746",Wisconsin
Sheboygan,"58,425",Wisconsin
Taylor,"49,783",Wisconsin
Trempealeau,"49,712",Wisconsin
Vernon,"49,116",Wisconsin
Vilas,"56,041",Wisconsin
Walworth,"58,208",Wisconsin
Washburn,"53,835",Wisconsin
Washington,"66,103",Wisconsin
Waukesha,"82,032",Wisconsin
Waupaca,"52,622",Wisconsin
Waushara,"46,929",Wisconsin
Winnebago,"55,202",Wisconsin
Wood,"53,122",Wisconsin
Albany,"48,528",Wyoming
Big Horn,"47,259",Wyoming
Campbell,"56,008",Wyoming
Carbon,"64,804",Wyoming
Converse,"69,583",Wyoming
Crook,"51,825",Wyoming
Fremont,"51,452",Wyoming
Goshen,"50,633",Wyoming
Hot Springs,"78,817",Wyoming
Johnson,"61,294",Wyoming
Laramie,"58,646",Wyoming
Lincoln,"61,945",Wyoming
Natrona,"70,175",Wyoming
Niobrara,"53,797",Wyoming
Park,"65,944",Wyoming
Platte,"53,368",Wyoming
Sheridan,"64,449",Wyoming
Sublette,"65,620",Wyoming
Sweetwater,"56,934",Wyoming
Teton,"318,297",Wyoming
Uinta,"44,157",Wyoming
Washakie,"60,235",Wyoming
Weston,"49,526",Wyoming
